model,dataset,signal,mean_delta,median_delta,frac_positive,n_prompts
mistral7b,humaneval,cs_context_loss,0.0,0.0,0.0,65
mistral7b,humaneval,cs_degenerating_generation,0.0,0.0,0.0,65
mistral7b,humaneval,early10_entropy_mean,-0.06983436262720495,-0.04755000002555887,0.3384615384615385,65
mistral7b,humaneval,early10_entropy_slope,-0.026765820401343884,-0.02121552750406986,0.3076923076923077,65
mistral7b,humaneval,early10_margin_mean,0.02227191407402684,0.022139169110192314,0.676923076923077,65
mistral7b,humaneval,early10_margin_slope,0.008129200585976281,0.00645917782729322,0.6923076923076923,65
mistral7b,humaneval,early10_surprisal_mean,-0.29532941234858096,-0.2857003764811575,0.2,65
mistral7b,humaneval,early10_surprisal_slope,0.10341412999398229,0.12647874452381436,0.8307692307692308,65
mistral7b,humaneval,early25p_entropy_mean,-0.03782631555619011,-0.007143250080796554,0.46153846153846156,65
mistral7b,humaneval,early25p_entropy_slope,-0.007427250485965944,-0.004801378784113949,0.38461538461538464,65
mistral7b,humaneval,early25p_margin_mean,0.016997433445921476,0.0050232243953930444,0.5538461538461539,65
mistral7b,humaneval,early25p_margin_slope,0.00335447123021694,0.0013007424466087852,0.6307692307692307,65
mistral7b,humaneval,early25p_surprisal_mean,-0.13640670201171787,-0.0859624712079009,0.2923076923076923,65
mistral7b,humaneval,early25p_surprisal_slope,0.04891621651128092,0.013434560872337582,0.6615384615384615,65
mistral7b,humaneval,early50p_entropy_mean,-0.011757445520103433,0.00016689250174845016,0.5076923076923077,65
mistral7b,humaneval,early50p_entropy_slope,0.0014124527547141744,0.000623265280148712,0.5230769230769231,65
mistral7b,humaneval,early50p_margin_mean,0.0048864698102612115,0.004251289366159372,0.5230769230769231,65
mistral7b,humaneval,early50p_margin_slope,-0.000776968917545026,-0.0001966465855766618,0.47692307692307695,65
mistral7b,humaneval,early50p_surprisal_mean,-0.06705667319795003,-0.028638581366757454,0.38461538461538464,65
mistral7b,humaneval,early50p_surprisal_slope,0.013679033182455965,0.004624481720737959,0.6923076923076923,65
mistral7b,humaneval,entropy_diff_std,-0.017395761625146004,0.017377206323407335,0.5846153846153846,65
mistral7b,humaneval,entropy_early_late_delta,0.029122426627740075,0.029800783412582355,0.5692307692307692,65
mistral7b,humaneval,entropy_max,-0.05759003943845531,0.09412621947231559,0.5384615384615384,65
mistral7b,humaneval,entropy_mean,-0.007066215766102397,0.00891232397867825,0.5384615384615384,65
mistral7b,humaneval,entropy_min,0.0,0.0,0.0,65
mistral7b,humaneval,entropy_p90,-0.02626230342333799,0.03966509291943032,0.5692307692307692,65
mistral7b,humaneval,entropy_range,-0.05759003943845531,0.09412621947231559,0.5384615384615384,65
mistral7b,humaneval,entropy_range_approx,-0.05052382367235286,0.05416077729416502,0.5230769230769231,65
mistral7b,humaneval,entropy_slope,0.00024847661900881965,-0.0005139251968506037,0.4,65
mistral7b,humaneval,entropy_std,-0.011852787637835214,0.005402172250307924,0.5230769230769231,65
mistral7b,humaneval,failure_risk,0.0010470085470085518,0.0,0.07692307692307693,65
mistral7b,humaneval,failure_risk_is_one,0.0,0.0,0.0,65
mistral7b,humaneval,failure_risk_is_zero,0.0,0.0,0.0,65
mistral7b,humaneval,focused_head_mean,0.002414507392033013,-0.00030197320039315745,0.49230769230769234,65
mistral7b,humaneval,focused_head_mean_zscore,0.017098242513031686,-0.002138411764567527,0.49230769230769234,65
mistral7b,humaneval,focused_head_rate,7.545335600103166e-05,-9.43666251228617e-06,0.49230769230769234,65
mistral7b,humaneval,hidden_max_abs_last_layer_mean,-0.07534253188986716,-0.6049111335852331,0.4307692307692308,65
mistral7b,humaneval,hidden_max_abs_last_layer_mean_zscore,-0.005548072439096746,-0.0445444386346443,0.4307692307692308,65
mistral7b,humaneval,hidden_std_last_layer_mean,0.005658721156201493,0.0011608765869475235,0.5076923076923077,65
mistral7b,humaneval,hidden_std_last_layer_mean_zscore,0.07208513943432343,0.014788138225266256,0.5076923076923077,65
mistral7b,humaneval,high_entropy_frac,-0.0008350936138566266,0.0,0.4461538461538462,65
mistral7b,humaneval,high_entropy_steps,-0.07784493284493284,0.0,0.4461538461538462,65
mistral7b,humaneval,inf_detected,0.0,0.0,0.0,65
mistral7b,humaneval,l2_norm_cross_layer_max,0.6976137377840264,0.5846214294433594,0.5230769230769231,65
mistral7b,humaneval,l2_norm_cross_layer_max_zscore,0.03042536226578536,0.025497374572434506,0.5230769230769231,65
mistral7b,humaneval,l2_norm_last_layer_mean,0.3644986951903757,0.06868181427091713,0.5076923076923077,65
mistral7b,humaneval,l2_norm_last_layer_mean_zscore,0.0725300896144825,0.013666710497680534,0.5076923076923077,65
mistral7b,humaneval,l2_norm_slope,0.002623522873468615,-0.01863108085356413,0.46153846153846156,65
mistral7b,humaneval,late50p_entropy_mean,-0.0023133691447139136,0.021300152610091633,0.6153846153846154,65
mistral7b,humaneval,late50p_margin_mean,-0.000749750418656491,-0.004210979104286805,0.4153846153846154,65
mistral7b,humaneval,late50p_surprisal_mean,0.0012923285064958352,0.02985625957761226,0.6153846153846154,65
