model,dataset,difficulty_band,diff_lo,diff_hi,signal,predictive_power,n,class_balance
llama,humaneval,medium,0.33,0.67,perplexity_mean,0.6136363636363636,70,0.6285714285714286
llama,humaneval,medium,0.33,0.67,collapsed_rate_mean,0.7683566433566433,70,0.6285714285714286
llama,humaneval,medium,0.33,0.67,hidden_max_abs_last_layer_mean,0.6765734265734266,70,0.6285714285714286
llama,humaneval,hard,0.67,1.01,entropy_mean,0.5128983466332864,1570,0.2643312101910828
llama,humaneval,hard,0.67,1.01,surprisal_mean,0.5119303186773065,1570,0.2643312101910828
llama,humaneval,hard,0.67,1.01,margin_mean,0.5040087623220153,1570,0.2643312101910828
llama,humaneval,hard,0.67,1.01,l2_norm_slope,0.5622072706410056,1570,0.2643312101910828
llama,humaneval,hard,0.67,1.01,compound_density_per_100t,0.5033922703802223,1570,0.2643312101910828
llama,humaneval,hard,0.67,1.01,early10_surprisal_mean,0.5618014916810097,1570,0.2643312101910828
llama,humaneval,hard,0.67,1.01,early10_entropy_mean,0.558842121733688,1570,0.2643312101910828
llama,humaneval,hard,0.67,1.01,risk_score,0.512679288582903,1570,0.2643312101910828
llama,humaneval,hard,0.67,1.01,concentration_min_mean,0.501461430136129,1570,0.2643312101910828
llama,humaneval,hard,0.67,1.01,focused_head_rate,0.5583268137485005,1570,0.2643312101910828
llama,humaneval,hard,0.67,1.01,entropy_std,0.5328347154853179,1570,0.2643312101910828
llama,humaneval,hard,0.67,1.01,margin_std,0.5112230741146404,1570,0.2643312101910828
llama,humaneval,hard,0.67,1.01,perplexity_mean,0.5279445052939029,1570,0.2643312101910828
llama,humaneval,hard,0.67,1.01,collapsed_rate_mean,0.5833599332394512,1570,0.2643312101910828
llama,humaneval,hard,0.67,1.01,hidden_max_abs_last_layer_mean,0.5741834871955354,1570,0.2643312101910828
mistral7b,gsm8k,easy,0.0,0.33,entropy_mean,0.7619047619047619,44,0.9545454545454546
mistral7b,gsm8k,easy,0.0,0.33,surprisal_mean,0.7142857142857142,44,0.9545454545454546
mistral7b,gsm8k,easy,0.0,0.33,margin_mean,0.6904761904761905,44,0.9545454545454546
mistral7b,gsm8k,easy,0.0,0.33,l2_norm_slope,0.7738095238095238,44,0.9545454545454546
mistral7b,gsm8k,easy,0.0,0.33,compound_density_per_100t,0.9166666666666666,44,0.9545454545454546
mistral7b,gsm8k,easy,0.0,0.33,early10_surprisal_mean,0.5476190476190476,44,0.9545454545454546
mistral7b,gsm8k,easy,0.0,0.33,early10_entropy_mean,0.5714285714285714,44,0.9545454545454546
mistral7b,gsm8k,easy,0.0,0.33,risk_score,0.5119047619047619,44,0.9545454545454546
mistral7b,gsm8k,easy,0.0,0.33,concentration_min_mean,0.5238095238095237,44,0.9545454545454546
mistral7b,gsm8k,easy,0.0,0.33,focused_head_rate,0.5238095238095237,44,0.9545454545454546
mistral7b,gsm8k,easy,0.0,0.33,entropy_std,0.8214285714285714,44,0.9545454545454546
mistral7b,gsm8k,easy,0.0,0.33,margin_std,0.6785714285714286,44,0.9545454545454546
mistral7b,gsm8k,easy,0.0,0.33,perplexity_mean,0.7976190476190477,44,0.9545454545454546
mistral7b,gsm8k,easy,0.0,0.33,collapsed_rate_mean,0.8571428571428572,44,0.9545454545454546
mistral7b,gsm8k,easy,0.0,0.33,hidden_max_abs_last_layer_mean,0.8809523809523809,44,0.9545454545454546
mistral7b,gsm8k,medium,0.33,0.67,entropy_mean,0.6641141663766098,312,0.7083333333333334
mistral7b,gsm8k,medium,0.33,0.67,surprisal_mean,0.6502411615533787,312,0.7083333333333334
mistral7b,gsm8k,medium,0.33,0.67,margin_mean,0.6760976579981104,312,0.7083333333333334
mistral7b,gsm8k,medium,0.33,0.67,l2_norm_slope,0.5260802545870419,312,0.7083333333333334
mistral7b,gsm8k,medium,0.33,0.67,compound_density_per_100t,0.5918651484262344,312,0.7083333333333334
mistral7b,gsm8k,medium,0.33,0.67,early10_surprisal_mean,0.6238874247924022,312,0.7083333333333334
mistral7b,gsm8k,medium,0.33,0.67,early10_entropy_mean,0.6504151956640645,312,0.7083333333333334
mistral7b,gsm8k,medium,0.33,0.67,risk_score,0.5043011287355179,312,0.7083333333333334
mistral7b,gsm8k,medium,0.33,0.67,concentration_min_mean,0.5974839639998011,312,0.7083333333333334
mistral7b,gsm8k,medium,0.33,0.67,focused_head_rate,0.5833623390184476,312,0.7083333333333334
mistral7b,gsm8k,medium,0.33,0.67,entropy_std,0.6583461787081697,312,0.7083333333333334
mistral7b,gsm8k,medium,0.33,0.67,margin_std,0.6793794440853265,312,0.7083333333333334
mistral7b,gsm8k,medium,0.33,0.67,perplexity_mean,0.6616279647953855,312,0.7083333333333334
mistral7b,gsm8k,medium,0.33,0.67,collapsed_rate_mean,0.5249366018596788,312,0.7083333333333334
mistral7b,gsm8k,medium,0.33,0.67,hidden_max_abs_last_layer_mean,0.5581522549848341,312,0.7083333333333334
mistral7b,gsm8k,hard,0.67,1.01,entropy_mean,0.6185064935064936,199,0.2814070351758794
mistral7b,gsm8k,hard,0.67,1.01,surprisal_mean,0.5874125874125875,199,0.2814070351758794
mistral7b,gsm8k,hard,0.67,1.01,margin_mean,0.6095154845154844,199,0.2814070351758794
mistral7b,gsm8k,hard,0.67,1.01,l2_norm_slope,0.6106393606393605,199,0.2814070351758794
mistral7b,gsm8k,hard,0.67,1.01,compound_density_per_100t,0.5553821178821179,199,0.2814070351758794
mistral7b,gsm8k,hard,0.67,1.01,early10_surprisal_mean,0.5166708291708291,199,0.2814070351758794
