model,dataset,difficulty_band,diff_lo,diff_hi,signal,predictive_power,n,class_balance
qwen,humaneval,medium,0.33,0.67,early10_entropy_mean,0.703030303030303,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,risk_score,0.776969696969697,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,concentration_min_mean,0.7733333333333334,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,focused_head_rate,0.7624242424242424,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,entropy_std,0.8448484848484848,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,margin_std,0.8581818181818182,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,perplexity_mean,0.8472727272727273,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,collapsed_rate_mean,0.7733333333333333,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,hidden_max_abs_last_layer_mean,0.646060606060606,70,0.7857142857142857
qwen,humaneval,hard,0.67,1.01,entropy_mean,0.6551574347934407,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,surprisal_mean,0.6753310634274727,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,margin_mean,0.6356545569531306,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,l2_norm_slope,0.8288627260589878,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,compound_density_per_100t,0.8708996365169508,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,early10_surprisal_mean,0.6045125558160482,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,early10_entropy_mean,0.6451376955557968,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,risk_score,0.5955819881053526,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,concentration_min_mean,0.836490120799024,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,focused_head_rate,0.7712675912380783,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,entropy_std,0.6867338269207428,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,margin_std,0.6372515826524681,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,perplexity_mean,0.6737659782421219,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,collapsed_rate_mean,0.7225710836138776,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,hidden_max_abs_last_layer_mean,0.7094052037485387,1570,0.06815286624203822
