model,dataset,signal,correlation,p_value,raw_auroc,predictive_power,auroc_oriented,direction,n,missing_rate,class_balance,p_value_fdr
llama,gsm8k,attention_collapse_detected,-0.0500757524303072,0.04253388744104488,0.49732241352827,0.50267758647173,0.50267758647173,lower_better,1641,0.0,0.8007312614259597,0.07457838800638493
llama,gsm8k,attn_entropy_norm_mean,0.013357194527756836,0.5887131015337301,0.5077453348786766,0.5077453348786766,0.5077453348786766,higher_better,1641,0.0,0.8007312614259597,0.6803480820507606
llama,gsm8k,attn_entropy_norm_std,-0.03953456493050561,0.10939432530793229,0.4775343396683097,0.5224656603316903,0.5224656603316903,lower_better,1641,0.0,0.8007312614259597,0.16892154767119855
llama,gsm8k,collapsed_rate_mean,-0.0023585494180559164,0.9239411871056022,0.45230614553223575,0.5476938544677643,0.5476938544677643,lower_better,1641,0.0,0.8007312614259597,0.9350456117276595
llama,gsm8k,collapsed_rate_mean_zscore,-0.0023585494180559225,0.9239411871056022,0.45230614553223575,0.5476938544677643,0.5476938544677643,lower_better,1641,0.0,0.8007312614259597,0.9350456117276595
llama,gsm8k,compound_density_per_100t,0.10445741315267582,2.2364804749886255e-05,0.5594270593328027,0.5594270593328027,0.5594270593328027,higher_better,1641,0.0,0.8007312614259597,7.779585308159359e-05
llama,gsm8k,concentration_max_mean,0.06023711030936826,0.014666232156330913,0.5407444644594325,0.5407444644594325,0.5407444644594325,higher_better,1641,0.0,0.8007312614259597,0.030511421881498715
llama,gsm8k,concentration_min_mean,0.03570826394432449,0.1482125066484646,0.5205363085845679,0.5205363085845679,0.5205363085845679,higher_better,1641,0.0,0.8007312614259597,0.21943590801271534
llama,gsm8k,cs_confident_repetition_risk,0.06094629057697821,0.013537639710219778,0.525892645190119,0.525892645190119,0.525892645190119,higher_better,1641,0.0,0.8007312614259597,0.028254364169394183
llama,gsm8k,early10_entropy_mean,-0.13305113828975948,6.31079796257097e-08,0.4240047198134417,0.5759952801865583,0.5759952801865583,lower_better,1641,0.0,0.8007312614259597,3.613350691843732e-07
llama,gsm8k,early10_entropy_slope,0.03274494124196336,0.18489997767561187,0.5221503079049893,0.5221503079049893,0.5221503079049893,higher_better,1641,0.0,0.8007312614259597,0.2595412346855533
llama,gsm8k,early10_margin_mean,0.09446454816741282,0.00012692748167008632,0.5512651334254954,0.5512651334254954,0.5512651334254954,higher_better,1641,0.0,0.8007312614259597,0.0003929286155050041
llama,gsm8k,early10_margin_slope,-0.03468125866295365,0.16024026490843987,0.47779616363881794,0.5222038363611821,0.5222038363611821,lower_better,1641,0.0,0.8007312614259597,0.2345598447867887
llama,gsm8k,early10_surprisal_mean,-0.13017815332410115,1.2102903476632975e-07,0.4270826060445263,0.5729173939554737,0.5729173939554737,lower_better,1641,0.0,0.8007312614259597,6.418507007689783e-07
llama,gsm8k,early10_surprisal_slope,0.061255469288166636,0.01307009672125597,0.5391083555592793,0.5391083555592793,0.5391083555592793,higher_better,1641,0.0,0.8007312614259597,0.027725746159516763
llama,gsm8k,early25p_entropy_mean,-0.18897898528413276,1.1704388583873086e-14,0.3641773607212843,0.6358226392787156,0.6358226392787156,lower_better,1641,0.0,0.8007312614259597,1.241432690781293e-13
llama,gsm8k,early25p_entropy_slope,-0.0370082780997326,0.13399070760220663,0.4865108290394202,0.5134891709605798,0.5134891709605798,lower_better,1641,0.0,0.8007312614259597,0.2030257325963178
llama,gsm8k,early25p_margin_mean,0.16975198453606155,4.466404498286665e-12,0.6223753601534172,0.6223753601534172,0.6223753601534172,higher_better,1641,0.0,0.8007312614259597,4.249652515281577e-11
llama,gsm8k,early25p_margin_slope,0.05298857260689148,0.03184107199178556,0.5331806608669748,0.5331806608669748,0.5331806608669748,higher_better,1641,0.0,0.8007312614259597,0.05803147486953594
llama,gsm8k,early25p_surprisal_mean,-0.17868932965213288,3.0580087447003e-13,0.3746991933494384,0.6253008066505616,0.6253008066505616,lower_better,1641,0.0,0.8007312614259597,3.0438948581862986e-12
llama,gsm8k,early25p_surprisal_slope,-0.0008666673363821292,0.9720149084957318,0.4998301053346925,0.5001698946653075,0.5001698946653075,lower_better,1641,0.0,0.8007312614259597,0.973519575536747
llama,gsm8k,early50p_entropy_mean,-0.20691822744884347,2.5068486959304333e-17,0.3472065127839917,0.6527934872160083,0.6527934872160083,lower_better,1641,0.0,0.8007312614259597,4.054827765667476e-16
llama,gsm8k,early50p_entropy_slope,-0.0049645907528154,0.8407299450044319,0.493199558739335,0.506800441260665,0.506800441260665,lower_better,1641,0.0,0.8007312614259597,0.8690024469825184
llama,gsm8k,early50p_margin_mean,0.19359419816514375,2.546351154711189e-15,0.6410055902326859,0.6410055902326859,0.6410055902326859,higher_better,1641,0.0,0.8007312614259597,2.941944994818106e-14
llama,gsm8k,early50p_margin_slope,0.026580199422384983,0.2818763627307255,0.5235269201588165,0.5235269201588165,0.5235269201588165,higher_better,1641,0.0,0.8007312614259597,0.37067887537963295
llama,gsm8k,early50p_surprisal_mean,-0.19493226790952398,1.624554688718893e-15,0.35645297176024837,0.6435470282397516,0.6435470282397516,lower_better,1641,0.0,0.8007312614259597,1.9110670610929522e-14
llama,gsm8k,early50p_surprisal_slope,0.017482182296817663,0.4791286716681027,0.5047430866835165,0.5047430866835165,0.5047430866835165,higher_better,1641,0.0,0.8007312614259597,0.5762012092365473
llama,gsm8k,entropy_diff_std,-0.20841006216340008,1.464312406041712e-17,0.35732339100442656,0.6426766089955734,0.6426766089955734,lower_better,1641,0.0,0.8007312614259597,2.631694796413855e-16
llama,gsm8k,entropy_early_late_delta,0.015672363177884407,0.5257995870530537,0.5248744408603652,0.5248744408603652,0.5248744408603652,higher_better,1641,0.0,0.8007312614259597,0.6234637551879054
llama,gsm8k,entropy_max,-0.15529799672219943,2.5385637400278137e-10,0.38394448866360387,0.6160555113363961,0.6160555113363961,lower_better,1641,0.0,0.8007312614259597,2.1899343197306604e-09
llama,gsm8k,entropy_mean,-0.20639016835011811,3.0293536404774565e-17,0.35456318452422514,0.6454368154757748,0.6454368154757748,lower_better,1641,0.0,0.8007312614259597,4.666647155687891e-16
llama,gsm8k,entropy_p90,-0.19687237041156813,8.418325519018761e-16,0.35026345309743573,0.6497365469025642,0.6497365469025642,lower_better,1641,0.0,0.8007312614259597,1.0474339636163728e-14
llama,gsm8k,entropy_range,-0.15529799672219943,2.5385637400278137e-10,0.38394448866360387,0.6160555113363961,0.6160555113363961,lower_better,1641,0.0,0.8007312614259597,2.1899343197306604e-09
