score,model,n,n_unique,pct_zero,pct_one,mean,std,median,p10,p90
risk_score,llama,3281,1948,0.24382810118866197,0.24382810118866197,0.40179655718900986,0.1143340815488441,0.4209165982649239,0.4,0.45424573914619665
risk_score,mistral7b,2195,78,0.0,96.08200455580865,0.9906216372445802,0.04833164368061436,1.0,1.0,1.0
risk_score,mixtral,2378,127,0.0,93.90243902439023,0.9858881926781228,0.057944270726301435,1.0,1.0,1.0
risk_score,qwen,3549,2783,0.39447731755424065,0.0,0.41510107912842065,0.11882370646846412,0.4285406543650116,0.4,0.5161794653428688
failure_risk,llama,3281,5,72.44742456568119,0.0,0.15056385248399878,0.24925587846439307,0.0,0.0,0.5
failure_risk,mistral7b,2195,2,0.0,0.0,0.6004555808656037,0.006735814938605802,0.6,0.6,0.6
failure_risk,mixtral,2378,3,0.0,0.0,0.6013877207737595,0.016981027318361975,0.6,0.6,0.6
failure_risk,qwen,3549,4,60.60862214708369,0.0,0.2034094111017188,0.2547014224122521,0.0,0.0,0.5
