model,ff_mean_tokens,ok_mean_tokens,ff_median_tokens,ok_median_tokens
llama,435.97771587743733,449.83114903992686,512.0,512.0
mistral7b,265.4975778546713,211.99134396355353,240.0,170.0
mixtral,240.1046698872786,247.3581336696091,221.0,202.0
qwen,484.032967032967,372.62750070442377,512.0,449.0
