model,signal,best_outcome,best_pp,mean_other_pp,specificity_gap,pp_correct,pp_incorrect,pp_format_failure,dir_correct,dir_incorrect,dir_format_failure
llama,focused_head_mean,incorrect,0.7567804417714652,0.6970276312228127,0.059752810548652446,0.6694939959657917,0.7567804417714652,0.7245612664798337,lower,higher,lower
llama,focused_head_mean_zscore,incorrect,0.7567804417714652,0.6970276312228127,0.059752810548652446,0.6694939959657917,0.7567804417714652,0.7245612664798337,lower,higher,lower
llama,focused_head_rate,incorrect,0.7567804417714652,0.6970276312228127,0.059752810548652446,0.6694939959657917,0.7567804417714652,0.7245612664798337,lower,higher,lower
llama,hidden_max_abs_last_layer_mean,incorrect,0.5982922225927013,0.5665466747491623,0.031745547843539,0.5746828506270484,0.5982922225927013,0.5584104988712763,lower,higher,lower
llama,hidden_max_abs_last_layer_mean_zscore,incorrect,0.5982922225927013,0.5665466747491623,0.031745547843539,0.5746828506270484,0.5982922225927013,0.5584104988712763,lower,higher,lower
llama,hidden_std_last_layer_mean,incorrect,0.6173656073175708,0.579795536260397,0.037570071057173804,0.5888040901567311,0.6173656073175708,0.5707869823640629,higher,lower,higher
llama,hidden_std_last_layer_mean_zscore,incorrect,0.6173656073175708,0.579795536260397,0.037570071057173804,0.5888040901567311,0.6173656073175708,0.5707869823640629,higher,lower,higher
llama,high_entropy_frac,incorrect,0.6123901107787859,0.5783954006450341,0.03399471013375177,0.5828489957226033,0.6123901107787859,0.573941805567465,lower,higher,lower
llama,high_entropy_steps,incorrect,0.6183399293822566,0.5819908411257362,0.03634908825652039,0.5878478009274993,0.6183399293822566,0.576133881323973,lower,higher,lower
llama,l2_norm_cross_layer_max,format_failure,0.5597905217768548,0.5106407538419367,0.0491497679349181,0.5210728021434412,0.5002087055404323,0.5597905217768548,higher,higher,lower
llama,l2_norm_cross_layer_max_zscore,format_failure,0.5597905217768548,0.5106407538419367,0.0491497679349181,0.5210728021434412,0.5002087055404323,0.5597905217768548,higher,higher,lower
llama,l2_norm_last_layer_mean,incorrect,0.6174651390209067,0.5796830872770864,0.03778205174382032,0.589078394569981,0.6174651390209067,0.5702877799841919,higher,lower,higher
llama,l2_norm_last_layer_mean_zscore,incorrect,0.6174651390209067,0.5796830872770864,0.03778205174382032,0.589078394569981,0.6174651390209067,0.5702877799841919,higher,lower,higher
llama,l2_norm_slope,correct,0.5398389398074008,0.5330873090593302,0.006751630748070614,0.5398389398074008,0.5264723227215949,0.5397022953970654,higher,lower,lower
llama,late50p_entropy_mean,format_failure,0.5581379751230814,0.5106314042122908,0.04750657091079058,0.5012443390728814,0.5200184693517003,0.5581379751230814,lower,lower,higher
