model,outcome,signal,raw_auroc,predictive_power,direction,n_total,n_outcome
llama,correct,surprisal_max,0.42491233889524804,0.575087661104752,lower,3640,1773
llama,correct,surprisal_mean,0.5449196133999519,0.5449196133999519,higher,3640,1773
llama,correct,surprisal_p90,0.5597806893922436,0.5597806893922436,higher,3640,1773
llama,correct,surprisal_range,0.42491233889524804,0.575087661104752,lower,3640,1773
llama,correct,surprisal_slope,0.3905119070168458,0.6094880929831542,lower,3640,1773
llama,correct,surprisal_std,0.5067761950896489,0.5067761950896489,higher,3640,1773
llama,correct,surprisal_volatility,0.4195546456404361,0.5804453543595639,lower,3291,1773
llama,correct,topk_mass_mean,0.603854883298275,0.603854883298275,higher,3640,1773
llama,correct,topk_mass_std,0.38711935353579296,0.612880646464207,lower,3640,1773
llama,correct,warning_density_per_100t,0.5351928332836383,0.5351928332836383,higher,3640,1773
llama,incorrect,attention_collapse_detected,0.5098418192404736,0.5098418192404736,higher,3640,1508
llama,incorrect,attn_entropy_norm_mean,0.24572293608571671,0.7542770639142833,lower,3640,1508
llama,incorrect,attn_entropy_norm_std,0.672238057439746,0.672238057439746,higher,3640,1508
llama,incorrect,collapsed_rate_mean,0.7520827008923018,0.7520827008923018,higher,3640,1508
llama,incorrect,collapsed_rate_mean_zscore,0.7520827008923018,0.7520827008923018,higher,3640,1508
llama,incorrect,compound_density_per_100t,0.4235817354347794,0.5764182645652206,lower,3640,1508
llama,incorrect,concentration_max_mean,0.5177466582230605,0.5177466582230605,higher,3640,1508
llama,incorrect,concentration_min_mean,0.5677885548494334,0.5677885548494334,higher,3640,1508
llama,incorrect,cs_confident_repetition_risk,0.5231367665135537,0.5231367665135537,higher,3640,1508
llama,incorrect,early10_entropy_mean,0.3921219412663419,0.6078780587336581,lower,3640,1508
llama,incorrect,early10_entropy_slope,0.5119854833010684,0.5119854833010684,higher,3640,1508
llama,incorrect,early10_margin_mean,0.624744950010202,0.624744950010202,higher,3640,1508
llama,incorrect,early10_margin_slope,0.4946794083835554,0.5053205916164446,lower,3640,1508
llama,incorrect,early10_surprisal_mean,0.44239260529210067,0.5576073947078993,lower,3640,1508
llama,incorrect,early10_surprisal_slope,0.4438417246853554,0.5561582753146446,lower,3640,1508
