dataset,signal,is_zscore,mixtral_mean,mixtral_std,mixtral_median,mixtral_n,dense_mean,dense_std,dense_median,dense_n,delta_mean,mann_whitney_u,mann_whitney_p,rank_biserial
gsm8k,entropy_mean,False,0.27854314118438306,0.10911811416154579,0.2624697774162486,758,0.3036607455591445,0.13453146950595424,0.2858074979751514,4105,-0.02511760437476146,1399598.0,1.0915756460053065e-05,0.10039690319097305
gsm8k,surprisal_mean,False,0.27919140768931805,0.11720015274255603,0.26314884888700674,758,0.3025843111645381,0.1411968793028414,0.28262128853129803,4105,-0.02339290347522005,1421220.0,0.00015103821059974835,0.08649918530397638
gsm8k,margin_mean,False,0.8728122926337938,0.0447993281206802,0.8779167099091003,758,0.8577636186244694,0.055619935788137044,0.8628534818114328,4105,0.015048674009324414,1801884.0,4.227081990931181e-12,-0.1581757236653929
gsm8k,collapsed_rate_mean,False,0.01821292850841998,0.0011232547351361808,0.018135860395568672,758,0.011427135488457191,0.0054787175917528335,0.012692895507812501,4105,0.006785793019962788,2954749.0,0.0,-0.8991891605256477
gsm8k,focused_head_mean,False,3.312921873142193,0.1665432709043524,3.3026561987368765,758,2.5979240682245477,1.736250932611746,1.4220989366620436,4105,0.7149978049176453,1868323.0,1.3661314966844893e-18,-0.20087993598128295
gsm8k,l2_norm_last_layer_mean,False,279.57249709565593,12.285427458866677,275.7828473726044,758,249.11429604508803,90.80986106048844,299.5905900001526,4105,30.458201050567908,1347472.0,4.46550976293534e-09,0.13390131733293908
gsm8k,risk_score,False,0.990151581640658,0.04972962112308168,1.0,758,0.4765310764892031,0.23126917458156032,0.429398513147868,4105,0.5136205051514549,2903488.0,0.0,-0.866240732230146
gsm8k,high_entropy_frac,False,1.364881924625611e-05,0.00028071750438383536,0.0,758,0.0006672593248515322,0.0026703203328024487,0.0,4105,-0.0006536105056052761,1379576.0,7.521387800644315e-22,0.11326620795156173
gsm8k,n_compound_signals,False,0.9604221635883905,0.19509393770166594,1.0,758,0.9045066991473812,0.2939309046726453,1.0,4105,0.055915464441009255,1642788.0,5.066159474014266e-07,-0.055915464441009366
gsm8k,l2_norm_last_layer_mean_zscore,True,0.00745486216935754,1.0591465746410929,-0.31925697074799975,758,0.1447177891805853,0.8568455650741784,0.18420357375861457,4105,-0.13726292701122778,1217040.0,1.4467867039422219e-21,0.21773755539772266
gsm8k,l2_norm_cross_layer_max_zscore,True,0.25022935025843807,0.7954365722357022,0.20629088420744418,758,-0.14537146555170666,0.7011334273442285,-0.21801174462894626,4105,0.3956008158101447,2018291.0,9.057199111471043e-39,-0.29727309831950866
gsm8k,focused_head_mean_zscore,True,-0.708085220899632,0.34387329882365175,-0.7292814619920331,758,-0.5126377600571812,0.5332101835882965,-0.6068797032776775,4105,-0.1954474608424508,1234629.0,1.5187860018487217e-19,0.20643208134747826
gsm8k,collapsed_rate_mean_zscore,True,-0.6624584107898911,0.4271820077490422,-0.6917679789149339,758,-0.5133188337103383,0.5633405786122,-0.6523124900991576,4105,-0.14913957707955283,1373017.0,2.6516680147993255e-07,0.11748205901163067
gsm8k,hidden_std_last_layer_mean_zscore,True,0.007081042548666821,1.0591634871276787,-0.3193546236728701,758,0.1442906746345193,0.8566829196600838,0.18274980427641577,4105,-0.1372096320858525,1216920.0,1.4004052964776497e-21,0.21781468638220336
gsm8k,hidden_max_abs_last_layer_mean_zscore,True,-0.5119834868773823,0.8040168673502371,-0.41191502033176774,758,-0.23036561126567953,0.9017730526277774,-0.2482133768009201,4105,-0.2816178756117027,1304819.0,1.5833949306708132e-12,0.16131688300836555
humaneval,entropy_mean,False,0.2064388600556757,0.09988181058176322,0.19305431086910493,1620,0.26930926733063626,0.15744017517266443,0.2304236395230863,4920,-0.06287040727496057,3096101.0,1.8165231954501494e-41,0.22310022081702297
humaneval,surprisal_mean,False,0.20605785245955288,0.11355355364110732,0.18456196788340679,1620,0.27142678950822097,0.16442224032544217,0.23274638726616376,4920,-0.06536893704866809,3058906.0,7.356708808331882e-45,0.23243350396466933
