dataset,correct,signal,mixtral_mean,dense_mean,delta
gsm8k,True,entropy_mean,0.2628632197192603,0.2891546108245526,-0.026291391105292328
gsm8k,True,surprisal_mean,0.26336236564200993,0.2876669733867599,-0.024304607744749962
gsm8k,True,margin_mean,0.8788810768850123,0.8635831275015842,0.0152979493834281
gsm8k,True,collapsed_rate_mean,0.018223064316082498,0.009552490126589189,0.008670574189493309
gsm8k,True,focused_head_mean,3.323081086290491,3.3668976183258676,-0.04381653203537672
gsm8k,False,entropy_mean,0.31616088999084346,0.3187950702996644,-0.0026341803088209548
gsm8k,False,surprisal_mean,0.31716691215259063,0.31814764614822305,-0.0009807339956324213
gsm8k,False,margin_mean,0.8582526532866994,0.8516920951767678,0.0065605581099316135
gsm8k,False,collapsed_rate_mean,0.018188611660440387,0.01338296260566741,0.0048056490547729765
gsm8k,False,focused_head_mean,3.2885488729882053,1.7956500209311845,1.4928988520570208
humaneval,True,entropy_mean,0.2220843825169842,0.23257922367823983,-0.010494841161255625
humaneval,True,surprisal_mean,0.23032415128566933,0.23452996803633724,-0.004205816750667918
humaneval,True,margin_mean,0.9005588021777308,0.899670357659365,0.000888444518365783
humaneval,True,collapsed_rate_mean,0.022299046392490696,0.01302422167609639,0.009274824716394306
humaneval,True,focused_head_mean,4.052446516881233,3.9787186172001734,0.0737278996810593
humaneval,False,entropy_mean,0.20576387615039063,0.2756571294636487,-0.06989325331325805
humaneval,False,surprisal_mean,0.20501094838914088,0.2778034749830996,-0.07279252659395871
humaneval,False,margin_mean,0.9082581550768327,0.8791722164292501,0.029085938647582577
humaneval,False,collapsed_rate_mean,0.022212315554091505,0.011151135371118002,0.011061180182973503
humaneval,False,focused_head_mean,4.088078037514043,2.428724313508548,1.659353724005495
