temperature,model,dataset,signal,direction,random_acc,signal_acc,lift,n_prompts
0.7,llama,gsm8k,entropy_mean,lower_better,0.8289077212806026,0.8531073446327684,0.024199623352165713,177
0.7,llama,gsm8k,surprisal_mean,lower_better,0.8289077212806026,0.847457627118644,0.01854990583804142,177
0.7,llama,gsm8k,margin_mean,higher_better,0.8289077212806026,0.8531073446327684,0.024199623352165713,177
0.7,llama,gsm8k,risk_score,lower_better,0.8289077212806026,0.811487758945386,-0.017419962335216626,177
0.7,llama,humaneval,entropy_mean,higher_better,0.4380952380952382,0.5238095238095238,0.08571428571428558,105
0.7,llama,humaneval,surprisal_mean,higher_better,0.4380952380952382,0.5142857142857142,0.07619047619047606,105
0.7,llama,humaneval,margin_mean,lower_better,0.4380952380952382,0.4857142857142857,0.047619047619047485,105
0.7,llama,humaneval,risk_score,higher_better,0.4380952380952382,0.47952380952380963,0.04142857142857138,105
0.7,mistral7b,gsm8k,entropy_mean,lower_better,0.761111111111111,0.7681159420289855,0.007004830917874513,69
0.7,mistral7b,gsm8k,surprisal_mean,lower_better,0.761111111111111,0.7536231884057971,-0.007487922705313893,69
0.7,mistral7b,gsm8k,margin_mean,higher_better,0.761111111111111,0.7681159420289855,0.007004830917874513,69
0.7,mistral7b,gsm8k,risk_score,lower_better,0.761111111111111,0.7688405797101449,0.007729468599033892,69
0.7,mistral7b,humaneval,entropy_mean,lower_better,0.2871794871794872,0.3076923076923077,0.020512820512820485,39
0.7,mistral7b,humaneval,surprisal_mean,higher_better,0.2871794871794872,0.358974358974359,0.07179487179487176,39
0.7,mistral7b,humaneval,margin_mean,higher_better,0.2871794871794872,0.3076923076923077,0.020512820512820485,39
0.7,mistral7b,humaneval,risk_score,lower_better,0.2871794871794872,0.2666666666666667,-0.020512820512820485,39
0.7,mixtral,gsm8k,entropy_mean,lower_better,0.787017543859649,0.8421052631578947,0.055087719298245776,95
0.7,mixtral,gsm8k,surprisal_mean,lower_better,0.787017543859649,0.8315789473684211,0.044561403508772086,95
0.7,mixtral,gsm8k,margin_mean,higher_better,0.787017543859649,0.8421052631578947,0.055087719298245776,95
0.7,mixtral,gsm8k,risk_score,higher_better,0.787017543859649,0.7903508771929824,0.003333333333333443,95
0.7,mixtral,humaneval,entropy_mean,higher_better,0.2571428571428571,0.3142857142857143,0.05714285714285714,35
0.7,mixtral,humaneval,surprisal_mean,higher_better,0.2571428571428571,0.2571428571428571,0.0,35
0.7,mixtral,humaneval,margin_mean,lower_better,0.2571428571428571,0.2857142857142857,0.02857142857142857,35
0.7,mixtral,humaneval,risk_score,lower_better,0.2571428571428571,0.3085714285714285,0.051428571428571344,35
0.7,qwen,gsm8k,entropy_mean,lower_better,0.5975308641975307,0.5679012345679012,-0.029629629629629436,81
0.7,qwen,gsm8k,surprisal_mean,lower_better,0.5975308641975307,0.5802469135802469,-0.017283950617283758,81
0.7,qwen,gsm8k,margin_mean,higher_better,0.5975308641975307,0.5925925925925926,-0.004938271604938079,81
0.7,qwen,gsm8k,risk_score,lower_better,0.5975308641975307,0.5602880658436213,-0.03724279835390928,81
0.7,qwen,humaneval,entropy_mean,lower_better,0.45365853658536553,0.4878048780487805,0.03414634146341495,41
0.7,qwen,humaneval,surprisal_mean,lower_better,0.45365853658536553,0.5609756097560976,0.10731707317073202,41
0.7,qwen,humaneval,margin_mean,higher_better,0.45365853658536553,0.4634146341463415,0.009756097560975922,41
0.7,qwen,humaneval,risk_score,lower_better,0.45365853658536553,0.5060975609756098,0.05243902439024421,41
0.8,llama,gsm8k,entropy_mean,lower_better,0.8175627240143364,0.8548387096774194,0.03727598566308292,186
0.8,llama,gsm8k,surprisal_mean,lower_better,0.8175627240143364,0.8494623655913979,0.03189964157706141,186
0.8,llama,gsm8k,margin_mean,higher_better,0.8175627240143364,0.8494623655913979,0.03189964157706141,186
0.8,llama,gsm8k,risk_score,lower_better,0.8175627240143364,0.8225806451612904,0.005017921146953884,186
0.8,llama,humaneval,entropy_mean,higher_better,0.44901960784313727,0.5,0.0509803921568627,102
0.8,llama,humaneval,surprisal_mean,higher_better,0.44901960784313727,0.49019607843137253,0.04117647058823525,102
0.8,llama,humaneval,margin_mean,lower_better,0.44901960784313727,0.49019607843137253,0.04117647058823525,102
0.8,llama,humaneval,risk_score,higher_better,0.44901960784313727,0.5196078431372549,0.0705882352941176,102
0.8,mistral7b,gsm8k,entropy_mean,lower_better,0.7923076923076925,0.8461538461538461,0.053846153846153655,52
0.8,mistral7b,gsm8k,surprisal_mean,lower_better,0.7923076923076925,0.8076923076923077,0.015384615384615193,52
0.8,mistral7b,gsm8k,margin_mean,higher_better,0.7923076923076925,0.8461538461538461,0.053846153846153655,52
0.8,mistral7b,gsm8k,risk_score,higher_better,0.7923076923076925,0.811217948717949,0.01891025641025643,52
0.8,mistral7b,humaneval,entropy_mean,higher_better,0.2232558139534883,0.3023255813953488,0.07906976744186052,43
0.8,mistral7b,humaneval,surprisal_mean,higher_better,0.2232558139534883,0.3953488372093023,0.172093023255814,43
0.8,mistral7b,humaneval,margin_mean,lower_better,0.2232558139534883,0.32558139534883723,0.10232558139534889,43
0.8,mistral7b,humaneval,risk_score,higher_better,0.2232558139534883,0.2275193798449612,0.004263565891472873,43
0.8,mixtral,gsm8k,entropy_mean,lower_better,0.8003333333333331,0.86,0.059666666666666826,100
