model,dataset,temperature,signal,predictive_power,n
mixtral,gsm8k,0.7,risk_score,0.5005991212887765,375
mixtral,gsm8k,0.7,l2_norm_slope,0.5337837837837838,375
mixtral,gsm8k,0.7,compound_density_per_100t,0.5560511250166422,375
mixtral,gsm8k,0.7,early10_surprisal_mean,0.5210191718812409,375
mixtral,gsm8k,0.7,early10_entropy_mean,0.5254792970310211,375
mixtral,gsm8k,0.7,concentration_min_mean,0.6075089868193317,375
mixtral,gsm8k,0.7,focused_head_rate,0.5938956197576888,375
mixtral,gsm8k,0.8,entropy_mean,0.65826899634295,383
mixtral,gsm8k,0.8,surprisal_mean,0.6533252065556008,383
mixtral,gsm8k,0.8,margin_mean,0.6489909250981986,383
mixtral,gsm8k,0.8,risk_score,0.5261411350399566,383
mixtral,gsm8k,0.8,l2_norm_slope,0.5176418799945821,383
mixtral,gsm8k,0.8,compound_density_per_100t,0.6128098334010565,383
mixtral,gsm8k,0.8,early10_surprisal_mean,0.5825206555600704,383
mixtral,gsm8k,0.8,early10_entropy_mean,0.5717018827035081,383
mixtral,gsm8k,0.8,concentration_min_mean,0.5945076527156983,383
mixtral,gsm8k,0.8,focused_head_rate,0.566571854259786,383
mixtral,humaneval,0.7,entropy_mean,0.5911111111111111,810
mixtral,humaneval,0.7,surprisal_mean,0.6029048656499637,810
mixtral,humaneval,0.7,margin_mean,0.6070297748729121,810
mixtral,humaneval,0.7,risk_score,0.532563543936093,810
mixtral,humaneval,0.7,l2_norm_slope,0.5774291938997822,810
mixtral,humaneval,0.7,compound_density_per_100t,0.5175018155410313,810
mixtral,humaneval,0.7,early10_surprisal_mean,0.801525054466231,810
mixtral,humaneval,0.7,early10_entropy_mean,0.7240522875816993,810
mixtral,humaneval,0.7,concentration_min_mean,0.5072476397966594,810
mixtral,humaneval,0.7,focused_head_rate,0.5033260711692084,810
mixtral,humaneval,0.8,entropy_mean,0.6085602215043839,810
mixtral,humaneval,0.8,surprisal_mean,0.6312874942316568,810
mixtral,humaneval,0.8,margin_mean,0.5831218274111676,810
mixtral,humaneval,0.8,risk_score,0.5006922011998154,810
mixtral,humaneval,0.8,l2_norm_slope,0.5577988001845869,810
mixtral,humaneval,0.8,compound_density_per_100t,0.5193239501615136,810
mixtral,humaneval,0.8,early10_surprisal_mean,0.7990886017535764,810
mixtral,humaneval,0.8,early10_entropy_mean,0.7903784033225658,810
mixtral,humaneval,0.8,concentration_min_mean,0.6031379787724965,810
mixtral,humaneval,0.8,focused_head_rate,0.64865020766036,810
qwen,gsm8k,0.7,entropy_mean,0.5425591346725307,951
qwen,gsm8k,0.7,surprisal_mean,0.5420004754546535,951
qwen,gsm8k,0.7,margin_mean,0.5216331867348152,951
qwen,gsm8k,0.7,risk_score,0.5329638654463331,951
qwen,gsm8k,0.7,l2_norm_slope,0.5580767859265423,951
qwen,gsm8k,0.7,compound_density_per_100t,0.6095477237608462,951
qwen,gsm8k,0.7,early10_surprisal_mean,0.5131671223107096,951
qwen,gsm8k,0.7,early10_entropy_mean,0.5073190300725068,951
qwen,gsm8k,0.7,concentration_min_mean,0.619505527160347,951
qwen,gsm8k,0.7,focused_head_rate,0.6132414121003209,951
qwen,gsm8k,0.8,entropy_mean,0.5559721220860371,958
qwen,gsm8k,0.8,surprisal_mean,0.5693583273251622,958
qwen,gsm8k,0.8,margin_mean,0.5356404710406153,958
qwen,gsm8k,0.8,risk_score,0.5426099495313627,958
qwen,gsm8k,0.8,l2_norm_slope,0.5577625570776256,958
qwen,gsm8k,0.8,compound_density_per_100t,0.608988223984619,958
qwen,gsm8k,0.8,early10_surprisal_mean,0.5016161980293199,958
qwen,gsm8k,0.8,early10_entropy_mean,0.5047614756068253,958
qwen,gsm8k,0.8,concentration_min_mean,0.6092225426580149,958
qwen,gsm8k,0.8,focused_head_rate,0.6271719538572458,958
qwen,humaneval,0.7,entropy_mean,0.7193651920545474,820
qwen,humaneval,0.7,surprisal_mean,0.7273816390823978,820
qwen,humaneval,0.7,margin_mean,0.7019419916877431,820
qwen,humaneval,0.7,risk_score,0.643179364304625,820
qwen,humaneval,0.7,l2_norm_slope,0.8761592048631139,820
qwen,humaneval,0.7,compound_density_per_100t,0.8937081244176244,820
qwen,humaneval,0.7,early10_surprisal_mean,0.6643963260416205,820
qwen,humaneval,0.7,early10_entropy_mean,0.6934966203724247,820
qwen,humaneval,0.7,concentration_min_mean,0.8558814394107469,820
qwen,humaneval,0.7,focused_head_rate,0.7746224726745647,820
qwen,humaneval,0.8,entropy_mean,0.7239043594048515,820
qwen,humaneval,0.8,surprisal_mean,0.7289990158050137,820
qwen,humaneval,0.8,margin_mean,0.7154518612864008,820
qwen,humaneval,0.8,risk_score,0.5819583550435168,820
qwen,humaneval,0.8,l2_norm_slope,0.856249638163608,820
qwen,humaneval,0.8,compound_density_per_100t,0.8919604778170169,820
qwen,humaneval,0.8,early10_surprisal_mean,0.6752253034601208,820
qwen,humaneval,0.8,early10_entropy_mean,0.719880738725178,820
qwen,humaneval,0.8,concentration_min_mean,0.8496304444315791,820
qwen,humaneval,0.8,focused_head_rate,0.79005770084332,820
