model,dataset,signal,mean_temp_0.7,mean_temp_0.8,temp_delta
mixtral,humaneval,early10_surprisal_mean,0.6123977362713262,0.6452742951029511,0.03287655883162488
mixtral,humaneval,early10_surprisal_slope,-0.0935212434339819,-0.09669338045208153,-0.0031721370180996383
mixtral,humaneval,early25p_entropy_mean,0.296745926327659,0.365585970315657,0.06884004398799798
mixtral,humaneval,early25p_entropy_slope,-0.014549929169903244,-0.017034231856257225,-0.0024843026863539813
mixtral,humaneval,early25p_margin_mean,0.8740808575668785,0.8513424810675585,-0.02273837649931998
mixtral,humaneval,early25p_margin_slope,0.004659733014723588,0.0054203441798282735,0.0007606111651046856
mixtral,humaneval,early25p_surprisal_mean,0.29723386555894804,0.34954446514513876,0.05231059958619072
mixtral,humaneval,early25p_surprisal_slope,-0.01544250393169016,-0.014764867695607697,0.0006776362360824632
mixtral,humaneval,early50p_entropy_mean,0.22621897872256835,0.2824187314278988,0.05619975270533045
mixtral,humaneval,early50p_entropy_slope,-0.005188233939728589,-0.007626872297347325,-0.0024386383576187366
mixtral,humaneval,early50p_margin_mean,0.9000431774427052,0.8810631807912054,-0.018979996651499853
mixtral,humaneval,early50p_margin_slope,0.0016732807213139002,0.002501900680984762,0.0008286199596708619
mixtral,humaneval,early50p_surprisal_mean,0.22431857466208077,0.2753508611063209,0.05103228644424013
mixtral,humaneval,early50p_surprisal_slope,-0.0051683198514912935,-0.005925226587095895,-0.0007569067356046014
mixtral,humaneval,entropy_diff_std,0.5634780670312849,0.6545890421011399,0.091110975069855
mixtral,humaneval,entropy_early_late_delta,-0.1634657205589964,-0.17692278275075907,-0.013457062191762653
mixtral,humaneval,entropy_max,2.9921350086998357,3.26326859550352,0.27113358680368416
mixtral,humaneval,entropy_mean,0.1795963644077998,0.23328135570355155,0.053684991295751744
mixtral,humaneval,entropy_min,0.0,0.0,0.0
mixtral,humaneval,entropy_p90,0.6554654527624987,0.8443822668036789,0.18891681404118021
mixtral,humaneval,entropy_range,2.9921350086998357,3.26326859550352,0.27113358680368416
mixtral,humaneval,entropy_range_approx,2.8125386442920366,3.029987239799968,0.2174485955079315
mixtral,humaneval,entropy_slope,-0.001587211181782553,-0.0022741526777655965,-0.0006869414959830434
mixtral,humaneval,entropy_std,0.45864918753988165,0.5394779025577958,0.08082871501791417
mixtral,humaneval,failure_risk,0.6025925925925925,0.6012345679012344,-0.0013580246913580396
mixtral,humaneval,failure_risk_is_one,0.0,0.0,0.0
mixtral,humaneval,failure_risk_is_zero,0.0,0.0,0.0
mixtral,humaneval,focused_head_mean,4.087652082350881,4.085556694056959,-0.0020953882939220847
mixtral,humaneval,focused_head_mean_zscore,0.8915533072275774,0.8872268154934186,-0.004326491734158777
mixtral,humaneval,focused_head_rate,0.12773912757346503,0.12767364668927997,-6.548088418506515e-05
mixtral,humaneval,hidden_max_abs_last_layer_mean,148.225148362246,147.3089095249203,-0.9162388373256931
