model,dataset,question_id,signal,n_runs,std_across_runs,range_across_runs
llama,gsm8k,gsm8k_0073,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0074,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0075,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0076,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0077,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0078,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0079,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0080,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0081,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0082,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0083,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0084,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0085,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0086,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0087,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0088,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0089,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0090,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0091,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0092,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0093,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0094,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
