model,dataset,tier,fold,auroc,splitter,n_prompt_groups
mistral7b,gsm8k,T3: + prompt_signals,2,0.6150265957446809,StratifiedGroupKFold,165
mistral7b,gsm8k,T3: + prompt_signals,3,0.547700754975978,StratifiedGroupKFold,165
mistral7b,gsm8k,T3: + prompt_signals,4,0.7516041877744004,StratifiedGroupKFold,165
mistral7b,gsm8k,T4: + early_window,0,0.7407051282051282,StratifiedGroupKFold,165
mistral7b,gsm8k,T4: + early_window,1,0.7168576104746318,StratifiedGroupKFold,165
mistral7b,gsm8k,T4: + early_window,2,0.6299867021276596,StratifiedGroupKFold,165
mistral7b,gsm8k,T4: + early_window,3,0.6352093342484557,StratifiedGroupKFold,165
mistral7b,gsm8k,T4: + early_window,4,0.7906112799729821,StratifiedGroupKFold,165
mistral7b,gsm8k,T5: + health_signals,0,0.7602564102564103,StratifiedGroupKFold,165
mistral7b,gsm8k,T5: + health_signals,1,0.7220949263502455,StratifiedGroupKFold,165
mistral7b,gsm8k,T5: + health_signals,2,0.6289893617021276,StratifiedGroupKFold,165
mistral7b,gsm8k,T5: + health_signals,3,0.6352093342484557,StratifiedGroupKFold,165
mistral7b,gsm8k,T5: + health_signals,4,0.7798041202296522,StratifiedGroupKFold,165
mistral7b,gsm8k,T6: full_corevital,0,0.7125,StratifiedGroupKFold,165
mistral7b,gsm8k,T6: full_corevital,1,0.7126022913256955,StratifiedGroupKFold,165
mistral7b,gsm8k,T6: full_corevital,2,0.602061170212766,StratifiedGroupKFold,165
mistral7b,gsm8k,T6: full_corevital,3,0.6019217570350035,StratifiedGroupKFold,165
mistral7b,gsm8k,T6: full_corevital,4,0.7220533603512327,StratifiedGroupKFold,165
mistral7b,humaneval,T1: entropy_only,0,0.6466129032258066,StratifiedGroupKFold,164
mistral7b,humaneval,T1: entropy_only,1,0.4905645161290323,StratifiedGroupKFold,164
mistral7b,humaneval,T1: entropy_only,2,0.48821081830790575,StratifiedGroupKFold,164
mistral7b,humaneval,T1: entropy_only,3,0.45866666666666667,StratifiedGroupKFold,164
mistral7b,humaneval,T1: entropy_only,4,0.3899589293301232,StratifiedGroupKFold,164
mistral7b,humaneval,T2: confidence_baseline,0,0.4562096774193548,StratifiedGroupKFold,164
mistral7b,humaneval,T2: confidence_baseline,1,0.5525806451612902,StratifiedGroupKFold,164
mistral7b,humaneval,T2: confidence_baseline,2,0.49614732624441366,StratifiedGroupKFold,164
mistral7b,humaneval,T2: confidence_baseline,3,0.51475,StratifiedGroupKFold,164
mistral7b,humaneval,T2: confidence_baseline,4,0.5412122928763631,StratifiedGroupKFold,164
mistral7b,humaneval,T3: + prompt_signals,0,0.5461290322580646,StratifiedGroupKFold,164
mistral7b,humaneval,T3: + prompt_signals,1,0.4992741935483871,StratifiedGroupKFold,164
mistral7b,humaneval,T3: + prompt_signals,2,0.43889659423640004,StratifiedGroupKFold,164
mistral7b,humaneval,T3: + prompt_signals,3,0.5590833333333334,StratifiedGroupKFold,164
mistral7b,humaneval,T3: + prompt_signals,4,0.5082849454751451,StratifiedGroupKFold,164
mistral7b,humaneval,T4: + early_window,0,0.7225806451612904,StratifiedGroupKFold,164
mistral7b,humaneval,T4: + early_window,1,0.8349999999999999,StratifiedGroupKFold,164
mistral7b,humaneval,T4: + early_window,2,0.7301587301587302,StratifiedGroupKFold,164
mistral7b,humaneval,T4: + early_window,3,0.8376666666666667,StratifiedGroupKFold,164
mistral7b,humaneval,T4: + early_window,4,0.6671859509984421,StratifiedGroupKFold,164
mistral7b,humaneval,T5: + health_signals,0,0.722741935483871,StratifiedGroupKFold,164
mistral7b,humaneval,T5: + health_signals,1,0.8324193548387098,StratifiedGroupKFold,164
mistral7b,humaneval,T5: + health_signals,2,0.7249190938511326,StratifiedGroupKFold,164
mistral7b,humaneval,T5: + health_signals,3,0.8495,StratifiedGroupKFold,164
mistral7b,humaneval,T5: + health_signals,4,0.6722843789831469,StratifiedGroupKFold,164
mistral7b,humaneval,T6: full_corevital,0,0.7201612903225807,StratifiedGroupKFold,164
mistral7b,humaneval,T6: full_corevital,1,0.8222580645161289,StratifiedGroupKFold,164
mistral7b,humaneval,T6: full_corevital,2,0.7432578209277239,StratifiedGroupKFold,164
mistral7b,humaneval,T6: full_corevital,3,0.8183333333333332,StratifiedGroupKFold,164
mistral7b,humaneval,T6: full_corevital,4,0.7258178728225464,StratifiedGroupKFold,164
mixtral,gsm8k,T1: entropy_only,0,0.5877899175771515,StratifiedGroupKFold,165
mixtral,gsm8k,T1: entropy_only,1,0.6078920041536864,StratifiedGroupKFold,165
mixtral,gsm8k,T1: entropy_only,2,0.6622294372294372,StratifiedGroupKFold,165
mixtral,gsm8k,T1: entropy_only,3,0.6383394914149098,StratifiedGroupKFold,165
mixtral,gsm8k,T1: entropy_only,4,0.5479437229437228,StratifiedGroupKFold,165
mixtral,gsm8k,T2: confidence_baseline,0,0.5616254552424766,StratifiedGroupKFold,165
mixtral,gsm8k,T2: confidence_baseline,1,0.6277258566978193,StratifiedGroupKFold,165
mixtral,gsm8k,T2: confidence_baseline,2,0.6153679653679653,StratifiedGroupKFold,165
mixtral,gsm8k,T2: confidence_baseline,3,0.6617039773962182,StratifiedGroupKFold,165
mixtral,gsm8k,T2: confidence_baseline,4,0.47554112554112554,StratifiedGroupKFold,165
mixtral,gsm8k,T3: + prompt_signals,0,0.5732221583285413,StratifiedGroupKFold,165
mixtral,gsm8k,T3: + prompt_signals,1,0.5767393561786085,StratifiedGroupKFold,165
mixtral,gsm8k,T3: + prompt_signals,2,0.505952380952381,StratifiedGroupKFold,165
mixtral,gsm8k,T3: + prompt_signals,3,0.6004129537057161,StratifiedGroupKFold,165
mixtral,gsm8k,T3: + prompt_signals,4,0.474025974025974,StratifiedGroupKFold,165
mixtral,gsm8k,T4: + early_window,0,0.5489745064213148,StratifiedGroupKFold,165
