index,perplexity_mean,entropy_mean,surprisal_mean,entropy_std,entropy_p90,surprisal_p90,margin_std,margin_mean,entropy_diff_std,surprisal_std,early50p_entropy_mean,surprisal_diff_std,early50p_surprisal_mean,early50p_margin_mean,late50p_entropy_mean,late50p_surprisal_mean,surprisal_volatility,margin_diff_std,late50p_margin_mean,early25p_entropy_mean,early25p_surprisal_mean,early25p_margin_mean,perplexity_max,entropy_max,entropy_range,surprisal_max,surprisal_range,topk_mass_std,topk_mass_mean,compound_density_per_100t
perplexity_mean,1.0,0.9645338070180676,0.9264799233464538,0.987385498928578,0.9209409262559911,0.9003320910627868,0.9062350246559981,-0.9024769210217116,0.9338311236517568,0.8653042349487424,0.7615271089556744,0.8355541945849524,0.7142848642426388,-0.7077295712182794,0.79081166959025,0.762045275545662,-0.824136021955191,0.7967416029383318,-0.7621797930634008,0.5487137266947727,0.5038000408750799,-0.5133560572142597,0.49699056137374314,0.49699056137374314,0.49699056137374314,0.4482162178475184,0.4482162178475184,0.5505112467184504,-0.5890211928600859,-0.05351565646771214
entropy_mean,0.9645338070180676,1.0,0.960915340520085,0.9210946862933722,0.9719417346541184,0.959596289937043,0.9620268766214418,-0.9782956544781216,0.8939830085406429,0.8434134568741894,0.7847557639069174,0.8301660494753031,0.7363680143336034,-0.7698882222340132,0.833016254488732,0.8019821387776612,-0.9351067575077706,0.8763424174822199,-0.8272784301837157,0.5765344402903033,0.5284590239807511,-0.5703308589944777,0.31846150464412654,0.31846150464412654,0.31846150464412654,0.3603840851011731,0.3603840851011731,0.37239668943359183,-0.41304203506282244,-0.0033993382001760355
surprisal_mean,0.9264799233464538,0.960915340520085,1.0,0.8847757252398756,0.9346546266940717,0.9655457791823642,0.9239768071609594,-0.940259283098911,0.8597497265575536,0.9352187761461832,0.750019362546816,0.9215485999334867,0.7818084176584618,-0.7368282514271711,0.806578970365806,0.8163630871848335,-0.8927922757698109,0.8424882858276592,-0.7998096129162096,0.5480539612640671,0.5732957492202594,-0.5426332590704737,0.3087784873170767,0.3087784873170767,0.3087784873170767,0.4306238889387651,0.4306238889387651,0.35928984912766354,-0.3989921278261622,-0.018355199507919653
entropy_std,0.987385498928578,0.9210946862933722,0.8847757252398756,1.0,0.8808171415135906,0.8516850625899149,0.8574382935370133,-0.8389357461208247,0.9275556746057673,0.8553186377009117,0.736436713446771,0.8149035719464454,0.6906000271220715,-0.6631278732428533,0.7398020199838972,0.7136406224149676,-0.7403250338806975,0.732096162943487,-0.6997405348728424,0.5309783734365554,0.4881942326708279,-0.48030911493466755,0.5610516273750055,0.5610516273750055,0.5610516273750055,0.4806282043489003,0.4806282043489003,0.6141248230251165,-0.6565539411415972,-0.07643208866326007
entropy_p90,0.9209409262559911,0.9719417346541184,0.9346546266940717,0.8808171415135906,1.0,0.9571229370007979,0.9552617021427232,-0.9609408944416777,0.8402411061611519,0.8115235169516434,0.7658718475203697,0.7935252344680763,0.7216096607754285,-0.7661135854768335,0.8006205096286906,0.7701682439998361,-0.9157326426180566,0.8561052244802305,-0.7978652828861977,0.558498750045603,0.515076165994201,-0.5677977932842877,0.27647225237607226,0.27647225237607226,0.27647225237607226,0.350766159352061,0.350766159352061,0.31585432349851644,-0.3546060351416345,-0.03657252076629839
surprisal_p90,0.9003320910627868,0.959596289937043,0.9655457791823642,0.8516850625899149,0.9571229370007979,1.0,0.953441465684521,-0.9632505559768129,0.8294570448298108,0.8428123284204238,0.7504115328104647,0.8316500641456634,0.7454180894586202,-0.7618049758031411,0.8038596952840052,0.8005849011379632,-0.9434485813611411,0.8736295649766119,-0.8104627998238628,0.5539735742230655,0.5433459693899727,-0.5687544584549109,0.24555762277303333,0.24555762277303333,0.24555762277303333,0.3339730897072798,0.3339730897072798,0.2890323489498718,-0.3278308212419054,-0.011886408545718461
margin_std,0.9062350246559981,0.9620268766214418,0.9239768071609594,0.8574382935370133,0.9552617021427232,0.953441465684521,1.0,-0.9828800606176593,0.839172165499814,0.7766038808678074,0.7591860652723331,0.7676723821685295,0.7130503230493033,-0.7883021780144822,0.8028458354417283,0.771236605227543,-0.9410317998029435,0.9224817158733055,-0.8195442203169443,0.56326921424859,0.5184449109649987,-0.5948278869096919,0.2462624249584505,0.2462624249584505,0.2462624249584505,0.3090564873894917,0.3090564873894917,0.2806918813676675,-0.31711281144560216,-0.010357924543802008
margin_mean,-0.9024769210217116,-0.9782956544781216,-0.940259283098911,-0.8389357461208247,-0.9609408944416777,-0.9632505559768129,-0.9828800606176593,1.0,-0.8342820153856958,-0.7829826167152949,-0.7666209412848817,-0.7824552589580477,-0.7198964083926208,0.7925141520955937,-0.8280953162752198,-0.7965005197487514,0.9719335998724387,-0.9223192491357042,0.8462741817137757,-0.5728587732124195,-0.5255258811459335,0.5978543497525678,-0.2062183953621926,-0.2062183953621926,-0.2062183953621926,-0.2869713477063094,-0.2869713477063094,-0.25003851670624555,0.2866629544745114,-0.022024452072457783
entropy_diff_std,0.9338311236517568,0.8939830085406429,0.8597497265575536,0.9275556746057673,0.8402411061611519,0.8294570448298108,0.839172165499814,-0.8342820153856958,1.0,0.8048073916468175,0.6962330674460454,0.8273030548675485,0.6522260028749162,-0.6353564947354291,0.7625780602510532,0.7364771249424475,-0.7517825771966417,0.837163413216982,-0.7365727825591137,0.5167241569400476,0.4718366423109802,-0.46583984359237673,0.4481689809408532,0.4481689809408532,0.4481689809408532,0.3782606890559487,0.3782606890559487,0.5088769972655384,-0.5539838401966135,0.03856060748397405
surprisal_std,0.8653042349487424,0.8434134568741894,0.9352187761461832,0.8553186377009117,0.8115235169516434,0.8428123284204238,0.7766038808678074,-0.7829826167152949,0.8048073916468175,1.0,0.6577663848618798,0.9709598350547569,0.7502408460051294,-0.6060853599971794,0.7014821659617381,0.7357179667379727,-0.6606431147458229,0.6780393462787192,-0.6702287858016213,0.46706769545282845,0.5553572027101632,-0.43079024002945093,0.42607487316783527,0.42607487316783527,0.42607487316783527,0.6215900233269437,0.6215900233269437,0.47906488374387857,-0.5179419630810541,-0.07393264182922171
early50p_entropy_mean,0.7615271089556744,0.7847557639069174,0.750019362546816,0.736436713446771,0.7658718475203697,0.7504115328104647,0.7591860652723331,-0.7666209412848817,0.6962330674460454,0.6577663848618798,1.0,0.6382865593814889,0.9302931805029864,-0.9682305854510065,0.3611592311642267,0.34439940471982433,-0.6881720115861653,0.6803973077594199,-0.36952859463735527,0.7831510948350717,0.7151762044172614,-0.7643218530619554,0.24923739709315237,0.24923739709315237,0.24923739709315237,0.2787455502999015,0.2787455502999015,0.28825249478109927,-0.32111769187073474,0.03328832645485481
surprisal_diff_std,0.8355541945849524,0.8301660494753031,0.9215485999334867,0.8149035719464454,0.7935252344680763,0.8316500641456634,0.7676723821685295,-0.7824552589580477,0.8273030548675485,0.9709598350547569,0.6382865593814889,1.0,0.7315819420283465,-0.594788572483636,0.7125237415671062,0.7468051372800435,-0.665991045764266,0.7269746793970455,-0.68909401983684,0.45778396312905045,0.5447708349488154,-0.4232559066017855,0.36216831626873247,0.36216831626873247,0.36216831626873247,0.5710671451900439,0.5710671451900439,0.41956413827575456,-0.4593852287114315,-0.018501848089758376
early50p_surprisal_mean,0.7142848642426388,0.7363680143336034,0.7818084176584618,0.6906000271220715,0.7216096607754285,0.7454180894586202,0.7130503230493033,-0.7198964083926208,0.6522260028749162,0.7502408460051294,0.9302931805029864,0.7315819420283465,1.0,-0.903630099659823,0.34722760304177736,0.3311459727480151,-0.6274695484974315,0.638218802953956,-0.3523473958724101,0.7224965071842276,0.7816446301677511,-0.7071704491323234,0.2429612162380555,0.2429612162380555,0.2429612162380555,0.3660923543757481,0.3660923543757481,0.27489707902603744,-0.3053887678619922,0.021002386287965073
early50p_margin_mean,-0.7077295712182794,-0.7698882222340132,-0.7368282514271711,-0.6631278732428533,-0.7661135854768335,-0.7618049758031411,-0.7883021780144822,0.7925141520955937,-0.6353564947354291,-0.6060853599971794,-0.9682305854510065,-0.594788572483636,-0.903630099659823,1.0,-0.36561708843111845,-0.3478478473813022,0.7272336004043528,-0.7226949258033589,0.38221455466913645,-0.7629875263806968,-0.6999811586158338,0.7974252796044592,-0.14214636658126217,-0.14214636658126217,-0.14214636658126217,-0.2214316676773065,-0.2214316676773065,-0.16401544650598762,0.19260911571460765,-0.023833117511342594
late50p_entropy_mean,0.79081166959025,0.833016254488732,0.806578970365806,0.7398020199838972,0.8006205096286906,0.8038596952840052,0.8028458354417283,-0.8280953162752198,0.7625780602510532,0.7014821659617381,0.3611592311642267,0.7125237415671062,0.34722760304177736,-0.36561708843111845,1.0,0.9646409546608999,-0.7763347025416792,0.7758311871159502,-0.9847188327273168,0.22286107858338383,0.20800228047548586,-0.22793367224292824,0.2420391377638698,0.2420391377638698,0.2420391377638698,0.2896452731955888,0.2896452731955888,0.2889143148244897,-0.3188736436838101,-0.003187096083517006
